Disease,Description,Findings_1,Findings_2
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,,
Scoliosis,"Scoliosis is a lateral curvature of the spine greater than 10 degrees, often accompanied by vertebral rotation. It can be idiopathic (most common), congenital, neuromuscular, or secondary to other conditions.",Lateral curvature of the spine with Cobb angle measurement.,"Evidence of vertebral body rotation, asymmetric rib spacing, or uneven shoulder/hip levels."
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,,
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",,
4Severe ,"Advanced degeneration characterized by extensive cartilage loss, large osteophytes, subchondral bone changes, and severe joint space narrowing. Symptoms include chronic pain, stiffness, and significantly impaired mobility.","Severe joint space narrowing, large osteophyte formation, and subchondral bone changes.",Evidence of bone-on-bone contact and potential joint deformity.
Viral Pneumonia,"Lung infection caused by viruses, leading to inflammation and fluid in the alveoli.",Diffuse bilateral ground-glass opacities.,Peribronchial thickening and patchy consolidations.
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",,
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",,
Renal Cyst,"A renal cyst is a fluid-filled sac that forms within the kidney, typically arising from the renal parenchyma or collecting system. Most commonly benign, renal cysts are classified as simple or complex based on their imaging characteristics. Simple cysts have thin, well-defined walls, contain clear fluid, and exhibit no internal septations, calcifications, or solid components. Complex cysts may present with irregular walls, septations, or enhancement, warranting further evaluation to exclude malignancy. Renal cysts are often asymptomatic and incidentally detected during imaging, though large or complicated cysts may cause pain, hematuria, or impaired renal function.","Well-defined, thin-walled, anechoic lesion with posterior acoustic enhancement.","No internal septations, calcifications, or solid components suggestive of malignancy."
Gallstones,"Gallstones are solid deposits that form in the gallbladder due to the precipitation of cholesterol, bile salts, or bilirubin. They vary in size, ranging from small grains to larger stones, and may be asymptomatic or cause biliary colic, especially when stones obstruct the cystic duct. Imaging typically reveals echogenic foci with posterior acoustic shadowing. Complications can include cholecystitis, choledocholithiasis, and pancreatitis.",Presence of echogenic foci with posterior acoustic shadowing on ultrasound.,"Mobile calculi within the gallbladder lumen, shifting with changes in patient positioning."
Impacted Teeth,"Teeth that fail to erupt fully into the dental arch due to lack of space, improper angulation, or obstruction by other teeth.",Swelling or tenderness in the gum overlying the tooth.,Partial eruption or complete absence of the tooth in its expected position.
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",,
Abdomen and Retroperitoneum,"The abdomen and retroperitoneum encompass multiple organs, including the gallbladder, liver, pancreas, kidneys, and major blood vessels. Pathological processes in this region, such as inflammation, infection, trauma, or malignancy, can indirectly affect gallbladder function and contribute to conditions like biliary obstruction or retroperitoneal abscess formation.","Normal organ structures with no evidence of mass effect, free fluid, or abnormal vascularity.",Absence of calcifications or abnormal soft tissue densities in retroperitoneal spaces.
